Major_Clade	Minor_Clade	Percentage_in_Family
Alveolata	Apicomplexa	1.52
Alveolata	Ciliophora	4.7
Alveolata	Colpodellida	0.14
Alveolata	Dinophyceae	5.57
Amoebozoa		5.78
Ancyromonadida	 Planomonadidae 	0.07
Ancyromonadida	Ancyromonadidae	0.36
Ancyromonadida	Planomonadidae	0.14
Apusozoa	Apusomonadida	0.87
Archaeplastida	Chlorophyta	14.1
Archaeplastida	Glaucocystophyceae	0.22
Archaeplastida	Rhodelphea	0.14
Archaeplastida	Rhodophyta	2.75
Archaeplastida	Streptophyta	3.76
Breviatea		0.07
CRuMs	Collodictyonidae	0.07
CRuMs	Glissandrida	0.07
CRuMs	Mantamonadidae	0.07
CRuMs	Rigifila	0.07
Cryptista	Cryptomonadales	0.58
Cryptista	Geminigeraceae	0.14
Cryptista	Goniomonadida	0.07
Cryptista	Pyrenomonadaceae	0.43
Cryptista	Pyrenomonadales	0.22
Discoba	 Tsukubea	0.07
Discoba	Euglenozoa	4.34
Discoba	Heterolobosea	0.94
Discoba	Jakobida	0.14
Haptista	Centroplasthelida	0.07
Haptista	Haptophyta	1.01
incertae sedis	Malawimonada	0.07
incertae sedis	Meteora	0.07
incertae sedis	Microheliella	0.07
Metamonada	Anaeramoebidae	0.14
Metamonada	Fornicata	0.07
Metamonada	Preaxostyla	0.14
Opisthokonta	Choanoflagellata	1.66
Opisthokonta	Filasterea	0.07
Opisthokonta	Fungi	10.77
Opisthokonta	Ichthyosporea	0.58
Opisthokonta	incertae sedis	0.07
Opisthokonta	Metazoa	9.11
Opisthokonta	Rotosphaerida	0.14
Provora	Nebulidea	0.07
Provora	Nibbleridea	0.07
Rhizaria	 Aquavolonida	0.07
Rhizaria	Cercozoa	1.45
		0.07
Rhizaria	Endomyxa	0.51
Rhizaria	Retaria	2.46
Stramenopila	 Pinguiophyceae	0.07
Stramenopila	 Raphidophyceae	0.22
Stramenopila	 Synurophyceae	0.22
Stramenopila	Actinophryidae	0.07
Stramenopila	Bacillariophyta	10.77
Stramenopila	Bolidophyceae	0.22
Stramenopila	Chrysophyceae	1.08
Stramenopila	Developea	0.29
Stramenopila	Dictyochophyceae	0.36
Stramenopila	Eustigmatophyceae	0.22
Stramenopila	Incertae sedis	0.07
Stramenopila	Labyrinthulomycetes	0.22
Stramenopila	Olisthodiscophyceae	0.07
Stramenopila	Oomycota	4.19
Stramenopila	Opalozoa	0.51
Stramenopila	Picophagaceae	0.07
Stramenopila	Pirsoniales	0.07
Stramenopila	PX Clade	4.92
Stramenopila	pX Clade	0.07
Stramenopila	Synchromophyceae	0.07
