Major_Clade	Minor_Clade	Percentage_in_Family
Alveolata	Apicomplexa	1.92
Alveolata	Ciliophora	4.32
Alveolata	Colpodellida	0.24
Alveolata	Dinophyceae	0.72
Amoebozoa		7.19
Apusozoa	Apusomonadida	0.24
Archaeplastida	Chlorophyta	3.6
Archaeplastida	Prasinodermophyta	0.24
Archaeplastida	Rhodophyta	2.88
Archaeplastida	Streptophyta	5.52
CRuMs	Glissandrida	0.24
Cryptista	Cryptomonadales	0.24
Cryptista	Pyrenomonadales	0.48
Discoba	Euglenozoa	0.72
Discoba	Heterolobosea	2.16
Haptista	Haptophyta	0.72
incertae sedis	Microheliella	0.24
Metamonada	Anaeramoebidae	0.24
Metamonada	Fornicata	0.72
Metamonada	Preaxostyla	0.24
Opisthokonta	Choanoflagellata	1.68
Opisthokonta	Filasterea	0.24
Opisthokonta	Fungi	2.88
Opisthokonta	Ichthyosporea	0.24
Opisthokonta	Metazoa	21.58
Opisthokonta	Rotosphaerida	0.24
Rhizaria	Cercozoa	0.24
Rhizaria	Endomyxa	0.48
Rhizaria	Retaria	0.24
Stramenopila	 Raphidophyceae	0.96
Stramenopila	 Synurophyceae	0.24
Stramenopila	Actinophryidae	0.24
Stramenopila	Bacillariophyta	15.83
Stramenopila	Chrysophyceae	0.96
Stramenopila	Developea	0.72
Stramenopila	Eustigmatophyceae	0.24
Stramenopila	Labyrinthulomycetes	0.24
Stramenopila	Olisthodiscophyceae	0.48
Stramenopila	Oomycota	8.63
Stramenopila	Opalozoa	0.24
Stramenopila	Pirsoniales	0.24
Stramenopila	PX Clade	10.07
Stramenopila	pX Clade	0.24
