Major_Clade	Minor_Clade	Percentage_in_Taxonomic_Group	Percentage_in_Dataset
Alveolata	Apicomplexa	1.52	0.7
Alveolata	Ciliophora	4.7	0.7
Alveolata	Colpodellida	0.14	0.7
Alveolata	Dinophyceae	5.57	0.7
Amoebozoa		5.78	0.7
Ancyromonadida	 Planomonadidae 	0.07	0.7
Ancyromonadida	Ancyromonadidae	0.36	0.7
Ancyromonadida	Planomonadidae	0.14	0.7
Apusozoa	Apusomonadida	0.87	0.7
Archaeplastida	Chlorophyta	14.1	0.7
Archaeplastida	Glaucocystophyceae	0.22	0.7
Archaeplastida	Rhodelphea	0.14	0.7
Archaeplastida	Rhodophyta	2.75	0.7
Archaeplastida	Streptophyta	3.76	0.7
Breviatea		0.07	0.7
CRuMs	Collodictyonidae	0.07	0.7
CRuMs	Glissandrida	0.07	0.7
CRuMs	Mantamonadidae	0.07	0.7
CRuMs	Rigifila	0.07	0.7
Cryptista	Cryptomonadales	0.58	0.7
Cryptista	Geminigeraceae	0.14	0.7
Cryptista	Goniomonadida	0.07	0.7
Cryptista	Pyrenomonadaceae	0.43	0.7
Cryptista	Pyrenomonadales	0.22	0.7
Discoba	 Tsukubea	0.07	0.7
Discoba	Euglenozoa	4.34	0.7
Discoba	Heterolobosea	0.94	0.7
Discoba	Jakobida	0.14	0.7
Haptista	Centroplasthelida	0.07	0.7
Haptista	Haptophyta	1.01	0.7
incertae sedis	Malawimonada	0.07	0.7
incertae sedis	Meteora	0.07	0.7
incertae sedis	Microheliella	0.07	0.7
Metamonada	Anaeramoebidae	0.14	0.7
Metamonada	Fornicata	0.07	0.7
Metamonada	Preaxostyla	0.14	0.7
Opisthokonta	Choanoflagellata	1.66	0.7
Opisthokonta	Filasterea	0.07	0.7
Opisthokonta	Fungi	10.77	0.7
Opisthokonta	Ichthyosporea	0.58	0.7
Opisthokonta	incertae sedis	0.07	0.7
Opisthokonta	Metazoa	9.11	0.7
Opisthokonta	Rotosphaerida	0.14	0.7
Provora	Nebulidea	0.07	0.7
Provora	Nibbleridea	0.07	0.7
Rhizaria	 Aquavolonida	0.07	0.7
Rhizaria	Cercozoa	1.45	0.7
		0.07	0.7
Rhizaria	Endomyxa	0.51	0.7
Rhizaria	Retaria	2.46	0.7
Stramenopila	 Pinguiophyceae	0.07	0.7
Stramenopila	 Raphidophyceae	0.22	0.7
Stramenopila	 Synurophyceae	0.22	0.7
Stramenopila	Actinophryidae	0.07	0.7
Stramenopila	Bacillariophyta	10.77	0.7
Stramenopila	Bolidophyceae	0.22	0.7
Stramenopila	Chrysophyceae	1.08	0.7
Stramenopila	Developea	0.29	0.7
Stramenopila	Dictyochophyceae	0.36	0.7
Stramenopila	Eustigmatophyceae	0.22	0.7
Stramenopila	Incertae sedis	0.07	0.7
Stramenopila	Labyrinthulomycetes	0.22	0.7
Stramenopila	Olisthodiscophyceae	0.07	0.7
Stramenopila	Oomycota	4.19	0.7
Stramenopila	Opalozoa	0.51	0.7
Stramenopila	Picophagaceae	0.07	0.7
Stramenopila	Pirsoniales	0.07	0.7
Stramenopila	PX Clade	4.92	0.7
Stramenopila	pX Clade	0.07	0.7
Stramenopila	Synchromophyceae	0.07	0.7
