Major_Clade	Minor_Clade	Percentage_in_Taxonomic_Group	Percentage_in_Dataset
Alveolata	Apicomplexa	1.92	0.21
Alveolata	Ciliophora	4.32	0.21
Alveolata	Colpodellida	0.24	0.21
Alveolata	Dinophyceae	0.72	0.21
Amoebozoa		7.19	0.21
Apusozoa	Apusomonadida	0.24	0.21
Archaeplastida	Chlorophyta	3.6	0.21
Archaeplastida	Prasinodermophyta	0.24	0.21
Archaeplastida	Rhodophyta	2.88	0.21
Archaeplastida	Streptophyta	5.52	0.21
CRuMs	Glissandrida	0.24	0.21
Cryptista	Cryptomonadales	0.24	0.21
Cryptista	Pyrenomonadales	0.48	0.21
Discoba	Euglenozoa	0.72	0.21
Discoba	Heterolobosea	2.16	0.21
Haptista	Haptophyta	0.72	0.21
incertae sedis	Microheliella	0.24	0.21
Metamonada	Anaeramoebidae	0.24	0.21
Metamonada	Fornicata	0.72	0.21
Metamonada	Preaxostyla	0.24	0.21
Opisthokonta	Choanoflagellata	1.68	0.21
Opisthokonta	Filasterea	0.24	0.21
Opisthokonta	Fungi	2.88	0.21
Opisthokonta	Ichthyosporea	0.24	0.21
Opisthokonta	Metazoa	21.58	0.21
Opisthokonta	Rotosphaerida	0.24	0.21
Rhizaria	Cercozoa	0.24	0.21
Rhizaria	Endomyxa	0.48	0.21
Rhizaria	Retaria	0.24	0.21
Stramenopila	 Raphidophyceae	0.96	0.21
Stramenopila	 Synurophyceae	0.24	0.21
Stramenopila	Actinophryidae	0.24	0.21
Stramenopila	Bacillariophyta	15.83	0.21
Stramenopila	Chrysophyceae	0.96	0.21
Stramenopila	Developea	0.72	0.21
Stramenopila	Eustigmatophyceae	0.24	0.21
Stramenopila	Labyrinthulomycetes	0.24	0.21
Stramenopila	Olisthodiscophyceae	0.48	0.21
Stramenopila	Oomycota	8.63	0.21
Stramenopila	Opalozoa	0.24	0.21
Stramenopila	Pirsoniales	0.24	0.21
Stramenopila	PX Clade	10.07	0.21
Stramenopila	pX Clade	0.24	0.21
