Major_Clade	Minor_Clade	Species_Count	Percentage_in_Family	Percentage_in_Dataset
Alveolata	Apicomplexa	8	1.53	0.03
Alveolata	Ciliophora	21	4.02	0.03
Alveolata	Colpodellida	1	0.19	0.03
Alveolata	Dinophyceae	6	1.15	0.03
Amoebozoa		37	7.07	0.03
Ancyromonadida	Ancyromonadidae	1	0.19	0.03
Apusozoa	Apusomonadida	3	0.57	0.03
Archaeplastida	Chlorophyta	23	4.4	0.03
Archaeplastida	Prasinodermophyta	1	0.19	0.03
Archaeplastida	Rhodophyta	16	3.06	0.03
Archaeplastida	Streptophyta	26	4.97	0.03
CRuMs	Glissandrida	1	0.19	0.03
Cryptista	Cryptomonadales	2	0.38	0.03
Cryptista	Geminigeraceae	1	0.19	0.03
Cryptista	Goniomonadida	1	0.19	0.03
Cryptista	Pyrenomonadaceae	1	0.19	0.03
Cryptista	Pyrenomonadales	3	0.57	0.03
Discoba	Euglenozoa	4	0.76	0.03
Discoba	Heterolobosea	10	1.91	0.03
Haptista	Haptophyta	6	1.15	0.03
incertae sedis	Microheliella	1	0.19	0.03
Metamonada	Anaeramoebidae	1	0.19	0.03
Metamonada	Fornicata	3	0.57	0.03
Metamonada	Preaxostyla	2	0.38	0.03
Opisthokonta	Choanoflagellata	10	1.91	0.03
Opisthokonta	Filasterea	1	0.19	0.03
Opisthokonta	Fungi	21	4.02	0.03
Opisthokonta	Ichthyosporea	1	0.19	0.03
Opisthokonta	Metazoa	111	21.22	0.03
Opisthokonta	Rotosphaerida	2	0.38	0.03
Rhizaria	Cercozoa	3	0.57	0.03
Rhizaria	Endomyxa	3	0.57	0.03
Rhizaria	Retaria	1	0.19	0.03
Stramenopila	 Raphidophyceae	4	0.76	0.03
Stramenopila	 Synurophyceae	1	0.19	0.03
Stramenopila	Actinophryidae	1	0.19	0.03
Stramenopila	Bacillariophyta	87	16.63	0.03
Stramenopila	Chrysophyceae	5	0.96	0.03
Stramenopila	Developea	3	0.57	0.03
Stramenopila	Dictyochophyceae	1	0.19	0.03
Stramenopila	Eustigmatophyceae	1	0.19	0.03
Stramenopila	Labyrinthulomycetes	1	0.19	0.03
Stramenopila	Olisthodiscophyceae	2	0.38	0.03
Stramenopila	Oomycota	36	6.88	0.03
Stramenopila	Opalozoa	2	0.38	0.03
Stramenopila	Pirsoniales	1	0.19	0.03
Stramenopila	PX Clade	45	8.6	0.03
Stramenopila	pX Clade	1	0.19	0.03
