Taxon	Major_Clade	Minor_Clade	Percentage_in_Family	Percentage_in_Dataset
Babesia	Alveolata	Apicomplexa	2.35	3.18
Babesia	Alveolata	Apicomplexa	2.35	3.18
Cryptosporidium	Alveolata	Apicomplexa	2.35	3.18
Cryptosporidium	Alveolata	Apicomplexa	2.35	3.18
Cryptosporidium	Alveolata	Apicomplexa	2.35	3.18
Cyclospora	Alveolata	Apicomplexa	2.35	3.18
Cystoisospora	Alveolata	Apicomplexa	2.35	3.18
Gregarina	Alveolata	Apicomplexa	2.35	3.18
Hammondia	Alveolata	Apicomplexa	2.35	3.18
Neospora	Alveolata	Apicomplexa	2.35	3.18
Theileria	Alveolata	Apicomplexa	2.35	3.18
Theileria	Alveolata	Apicomplexa	2.35	3.18
Theileria	Alveolata	Apicomplexa	2.35	3.18
Toxoplasma	Alveolata	Apicomplexa	2.35	3.18
Babesia	Alveolata	Apicomplexa	2.35	3.18
Babesia	Alveolata	Apicomplexa	2.35	3.18
Blabericola	Alveolata	Apicomplexa	2.35	3.18
Cephaloidophora	Alveolata	Apicomplexa	2.35	3.18
Cryptosporidium	Alveolata	Apicomplexa	2.35	3.18
Cryptosporidium	Alveolata	Apicomplexa	2.35	3.18
Devanium	Alveolata	Apicomplexa	2.35	3.18
Eimeria	Alveolata	Apicomplexa	2.35	3.18
Eleutheroschizon	Alveolata	Apicomplexa	2.35	3.18
Ganymedes	Alveolata	Apicomplexa	2.35	3.18
Haemoproteus	Alveolata	Apicomplexa	2.35	3.18
Klossia	Alveolata	Apicomplexa	2.35	3.18
Lankesteria	Alveolata	Apicomplexa	2.35	3.18
Lankesteria	Alveolata	Apicomplexa	2.35	3.18
Margolisiella	Alveolata	Apicomplexa	2.35	3.18
Merocystis	Alveolata	Apicomplexa	2.35	3.18
Ophryocystis	Alveolata	Apicomplexa	2.35	3.18
Plasmodium	Alveolata	Apicomplexa	2.35	3.18
Plasmodium	Alveolata	Apicomplexa	2.35	3.18
Platyproteum	Alveolata	Apicomplexa	2.35	3.18
Pterospora	Alveolata	Apicomplexa	2.35	3.18
Sarcocystis	Alveolata	Apicomplexa	2.35	3.18
Sarcocystis	Alveolata	Apicomplexa	2.35	3.18
Selenidium	Alveolata	Apicomplexa	2.35	3.18
