Taxon	Major_Clade	Minor_Clade
Babesia	Alveolata	Apicomplexa
Babesia	Alveolata	Apicomplexa
Cryptosporidium	Alveolata	Apicomplexa
Cryptosporidium	Alveolata	Apicomplexa
Cryptosporidium	Alveolata	Apicomplexa
Cyclospora	Alveolata	Apicomplexa
Cystoisospora	Alveolata	Apicomplexa
Gregarina	Alveolata	Apicomplexa
Hammondia	Alveolata	Apicomplexa
Neospora	Alveolata	Apicomplexa
Theileria	Alveolata	Apicomplexa
Theileria	Alveolata	Apicomplexa
Theileria	Alveolata	Apicomplexa
Toxoplasma	Alveolata	Apicomplexa
Ancora	Alveolata	Apicomplexa
Babesia	Alveolata	Apicomplexa
Babesia	Alveolata	Apicomplexa
Blabericola	Alveolata	Apicomplexa
Cephaloidophora	Alveolata	Apicomplexa
Cryptosporidium	Alveolata	Apicomplexa
Cryptosporidium	Alveolata	Apicomplexa
Devanium	Alveolata	Apicomplexa
Digyalum	Alveolata	Apicomplexa
Eimeria	Alveolata	Apicomplexa
Eleutheroschizon	Alveolata	Apicomplexa
Ganymedes	Alveolata	Apicomplexa
Ganymedes	Alveolata	Apicomplexa
Haemoproteus	Alveolata	Apicomplexa
Klossia	Alveolata	Apicomplexa
Lankesteria	Alveolata	Apicomplexa
Lankesteria	Alveolata	Apicomplexa
Margolisiella	Alveolata	Apicomplexa
Merocystis	Alveolata	Apicomplexa
Monocystis	Alveolata	Apicomplexa
Ophryocystis	Alveolata	Apicomplexa
Plasmodium	Alveolata	Apicomplexa
Plasmodium	Alveolata	Apicomplexa
Platyproteum	Alveolata	Apicomplexa
Polyplicarium	Alveolata	Apicomplexa
Pterospora	Alveolata	Apicomplexa
Sarcocystis	Alveolata	Apicomplexa
Sarcocystis	Alveolata	Apicomplexa
Selenidium	Alveolata	Apicomplexa
Selenidium	Alveolata	Apicomplexa
Selenidium	Alveolata	Apicomplexa
Selenidium	Alveolata	Apicomplexa
Selenidium	Alveolata	Apicomplexa
Selenidium	Alveolata	Apicomplexa
Siedleckia	Alveolata	Apicomplexa
Siedleckia	Alveolata	Apicomplexa
Thiriotia	Alveolata	Apicomplexa
Trichotokara	Alveolata	Apicomplexa
Moneuplotes	Alveolata	Ciliophora
Stentor	Alveolata	Ciliophora
Stylonychia	Alveolata	Ciliophora
Anaerocyclidium	Alveolata	Ciliophora
Apodileptus	Alveolata	Ciliophora
Balantidium	Alveolata	Ciliophora
Blepharisma	Alveolata	Ciliophora
Blepharisma	Alveolata	Ciliophora
Blepharisma	Alveolata	Ciliophora
Bourlandella	Alveolata	Ciliophora
Brachonella	Alveolata	Ciliophora
Brachonella	Alveolata	Ciliophora
Bursaria	Alveolata	Ciliophora
Campanella	Alveolata	Ciliophora
Chilodonella	Alveolata	Ciliophora
Chilodonella	Alveolata	Ciliophora
Climacostomum	Alveolata	Ciliophora
Colpoda	Alveolata	Ciliophora
Colpoda	Alveolata	Ciliophora
Colpoda	Alveolata	Ciliophora
Dasytricha	Alveolata	Ciliophora
Diplodinium	Alveolata	Ciliophora
Enoploplastron	Alveolata	Ciliophora
Entodinium	Alveolata	Ciliophora
Entodinium	Alveolata	Ciliophora
Entodinium	Alveolata	Ciliophora
Entodinium	Alveolata	Ciliophora
Euplotes	Alveolata	Ciliophora
Euplotes	Alveolata	Ciliophora
Euplotes	Alveolata	Ciliophora
Euplotes	Alveolata	Ciliophora
Euplotes	Alveolata	Ciliophora
Euplotes	Alveolata	Ciliophora
Euplotes	Alveolata	Ciliophora
Favella	Alveolata	Ciliophora
Halteria	Alveolata	Ciliophora
Haptorida	Alveolata	Ciliophora
Heterometopus	Alveolata	Ciliophora
Isotricha	Alveolata	Ciliophora
Litonotus	Alveolata	Ciliophora
Maristentor	Alveolata	Ciliophora
Mesodinium	Alveolata	Ciliophora
Mesodinium	Alveolata	Ciliophora
Mesodinium	Alveolata	Ciliophora
Mesodinium	Alveolata	Ciliophora
Metopus	Alveolata	Ciliophora
Metopus	Alveolata	Ciliophora
Metopus	Alveolata	Ciliophora
Moneuplotes	Alveolata	Ciliophora
Muranothrix	Alveolata	Ciliophora
Nolandia	Alveolata	Ciliophora
Nyctotherus	Alveolata	Ciliophora
Ophryoscolex	Alveolata	Ciliophora
Paralembus	Alveolata	Ciliophora
Paraurostyla	Alveolata	Ciliophora
Phacodinium	Alveolata	Ciliophora
Plagiopyla	Alveolata	Ciliophora
Platyophrya	Alveolata	Ciliophora
Polyplastron	Alveolata	Ciliophora
Prorodon	Alveolata	Ciliophora
Protocruzia	Alveolata	Ciliophora
Protocruzia	Alveolata	Ciliophora
Protocruzia	Alveolata	Ciliophora
Pseudoamphisiella	Alveolata	Ciliophora
Pseudokeronopsis	Alveolata	Ciliophora
Pseudokeronopsis	Alveolata	Ciliophora
Pseudokeronopsis	Alveolata	Ciliophora
Pseudomicrothorax	Alveolata	Ciliophora
Rimaleptus	Alveolata	Ciliophora
Schmidingerella	Alveolata	Ciliophora
Spirostomum	Alveolata	Ciliophora
Spirostomum	Alveolata	Ciliophora
Spirostomum	Alveolata	Ciliophora
Spirostomum	Alveolata	Ciliophora
Spirostomum	Alveolata	Ciliophora
Stentor	Alveolata	Ciliophora
Stentor	Alveolata	Ciliophora
Strombidinopsis	Alveolata	Ciliophora
Strombidium	Alveolata	Ciliophora
Strombidium	Alveolata	Ciliophora
Stylonychia	Alveolata	Ciliophora
Thigmothrix	Alveolata	Ciliophora
Tiarina	Alveolata	Ciliophora
Trachelius	Alveolata	Ciliophora
Uroleptopsis	Alveolata	Ciliophora
Urostomides	Alveolata	Ciliophora
Vorticella	Alveolata	Ciliophora
Wilbertomorpha	Alveolata	Ciliophora
Zoothamnium	Alveolata	Ciliophora
Vitrella	Alveolata	Colpodellida
Chromera	Alveolata	Colpodellida
Colpodella	Alveolata	Colpodellida
Colponema	Alveolata	Colpodellida
Cladocopium	Alveolata	Dinophyceae
Durusdinium	Alveolata	Dinophyceae
Effrenium	Alveolata	Dinophyceae
