Taxon	Major_Clade	Minor_Clade
Cephaloidophora	Alveolata	Apicomplexa
Digyalum	Alveolata	Apicomplexa
Margolisiella	Alveolata	Apicomplexa
Merocystis	Alveolata	Apicomplexa
Monocystis	Alveolata	Apicomplexa
Ophryocystis	Alveolata	Apicomplexa
Siedleckia	Alveolata	Apicomplexa
Thiriotia	Alveolata	Apicomplexa
Paramecium	Alveolata	Ciliophora
Blepharisma	Alveolata	Ciliophora
Blepharisma	Alveolata	Ciliophora
Bursaria	Alveolata	Ciliophora
Chilodonella	Alveolata	Ciliophora
Colpoda	Alveolata	Ciliophora
Colpoda	Alveolata	Ciliophora
Colpoda	Alveolata	Ciliophora
Didinium	Alveolata	Ciliophora
Entodinium	Alveolata	Ciliophora
Entodinium	Alveolata	Ciliophora
Isotricha	Alveolata	Ciliophora
Mesodinium	Alveolata	Ciliophora
Metopus	Alveolata	Ciliophora
Ophryoscolex	Alveolata	Ciliophora
Paramecium	Alveolata	Ciliophora
Polyplastron	Alveolata	Ciliophora
Stentor	Alveolata	Ciliophora
Piridium	Alveolata	Colpodellida
Alexandrium	Alveolata	Dinophyceae
Durinskia	Alveolata	Dinophyceae
Symbiodinium	Alveolata	Dinophyceae
Cavenderia	Amoebozoa	
Entamoeba	Amoebozoa	
Entamoeba	Amoebozoa	
Pelomyxa	Amoebozoa	
Tieghemostelium	Amoebozoa	
Cavenderia	Amoebozoa	
Cavenderia	Amoebozoa	
Cavostelium	Amoebozoa	
Cochliopodium	Amoebozoa	
Dictyostelium	Amoebozoa	
Dictyostelium	Amoebozoa	
Didymium	Amoebozoa	
Fuligo	Amoebozoa	
Heleopera	Amoebozoa	
Heterostelium	Amoebozoa	
Mayorella	Amoebozoa	
Mayorella	Amoebozoa	
Microchlamys	Amoebozoa	
Microcorycia	Amoebozoa	
Parakanabo	Amoebozoa	
Parakanabo	Amoebozoa	
Paramoeba	Amoebozoa	
Paramoeba	Amoebozoa	
Raperostelium	Amoebozoa	
Raperostelium	Amoebozoa	
Rhizamoeba	Amoebozoa	
Stygamoeba	Amoebozoa	
Unda	Amoebozoa	
Vermamoeba	Amoebozoa	
Vexillifera	Amoebozoa	
Singekia	Apusozoa	Apusomonadida
Cymbomonas	Archaeplastida	Chlorophyta
Pycnococcus	Archaeplastida	Chlorophyta
Aphanochaete	Archaeplastida	Chlorophyta
Chlorocladiella	Archaeplastida	Chlorophyta
Chlorocladiella	Archaeplastida	Chlorophyta
Chloropicon	Archaeplastida	Chlorophyta
Crustomastix	Archaeplastida	Chlorophyta
Hegewaldia	Archaeplastida	Chlorophyta
Oedocladium	Archaeplastida	Chlorophyta
Oedogonium	Archaeplastida	Chlorophyta
Oocystis	Archaeplastida	Chlorophyta
Oocystis	Archaeplastida	Chlorophyta
Phaeophila	Archaeplastida	Chlorophyta
Polyblepharides	Archaeplastida	Chlorophyta
Ulothrix	Archaeplastida	Chlorophyta
Prasinococcus	Archaeplastida	Prasinodermophyta
Amphiroa	Archaeplastida	Rhodophyta
Dixoniella	Archaeplastida	Rhodophyta
Gracilaria	Archaeplastida	Rhodophyta
Grateloupia	Archaeplastida	Rhodophyta
Heterosiphonia	Archaeplastida	Rhodophyta
Lithophyllum	Archaeplastida	Rhodophyta
Meiodiscus	Archaeplastida	Rhodophyta
Melanothamnus	Archaeplastida	Rhodophyta
Palisada	Archaeplastida	Rhodophyta
Rhodella	Archaeplastida	Rhodophyta
Rhodochorton	Archaeplastida	Rhodophyta
Rhodothamniella	Archaeplastida	Rhodophyta
Klebsormidium	Archaeplastida	Streptophyta
Andreaea	Archaeplastida	Streptophyta
Chaetosphaeridium	Archaeplastida	Streptophyta
Chaetosphaeridium	Archaeplastida	Streptophyta
Coleochaete	Archaeplastida	Streptophyta
Coleochaete	Archaeplastida	Streptophyta
Coleochaete	Archaeplastida	Streptophyta
Coleochaete	Archaeplastida	Streptophyta
Cosmarium	Archaeplastida	Streptophyta
Cylindrocystis	Archaeplastida	Streptophyta
Cylindrocystis	Archaeplastida	Streptophyta
Gonatozygon	Archaeplastida	Streptophyta
Hormidiella	Archaeplastida	Streptophyta
Interfilum	Archaeplastida	Streptophyta
Klebsormidium	Archaeplastida	Streptophyta
Klebsormidium	Archaeplastida	Streptophyta
Klebsormidium	Archaeplastida	Streptophyta
Mesotaenium	Archaeplastida	Streptophyta
Pohlia	Archaeplastida	Streptophyta
Sanionia	Archaeplastida	Streptophyta
Streptosarcina	Archaeplastida	Streptophyta
Takakia	Archaeplastida	Streptophyta
Zygnema	Archaeplastida	Streptophyta
Glissandra	CRuMs	Glissandrida
Cryptomonas	Cryptista	Cryptomonadales
Chroomonas	Cryptista	Pyrenomonadales
Chroomonas	Cryptista	Pyrenomonadales
Diplonema	Discoba	Euglenozoa
Diplonema	Discoba	Euglenozoa
Rhynchopus	Discoba	Euglenozoa
Acrasis	Discoba	Heterolobosea
Naegleria	Discoba	Heterolobosea
Naegleria	Discoba	Heterolobosea
Willaertia	Discoba	Heterolobosea
Acrasis	Discoba	Heterolobosea
Harpagon	Discoba	Heterolobosea
Naegleria	Discoba	Heterolobosea
Tetramitus	Discoba	Heterolobosea
Tetramitus	Discoba	Heterolobosea
Chrysoculter	Haptista	Haptophyta
Pavlova	Haptista	Haptophyta
Phaeocystis	Haptista	Haptophyta
Microheliella	incertae sedis	Microheliella
Anaeramoeba	Metamonada	Anaeramoebidae
Hexamita	Metamonada	Fornicata
Gyromonas	Metamonada	Fornicata
Trepomonas	Metamonada	Fornicata
Trimastix	Metamonada	Preaxostyla
Hartaetosiga	Opisthokonta	Choanoflagellata
Mylnosiga	Opisthokonta	Choanoflagellata
Salpingoeca	Opisthokonta	Choanoflagellata
Salpingoeca	Opisthokonta	Choanoflagellata
Salpingoeca	Opisthokonta	Choanoflagellata
Salpingoeca	Opisthokonta	Choanoflagellata
Stephanoeca	Opisthokonta	Choanoflagellata
Ministeria	Opisthokonta	Filasterea
Acaulospora	Opisthokonta	Fungi
Ambispora	Opisthokonta	Fungi
Ascobolus	Opisthokonta	Fungi
Peziza	Opisthokonta	Fungi
Rhizina	Opisthokonta	Fungi
Rhizophagus	Opisthokonta	Fungi
Anthracobia	Opisthokonta	Fungi
Disciotis	Opisthokonta	Fungi
Gyromitra	Opisthokonta	Fungi
Paragyromitra	Opisthokonta	Fungi
Plectania	Opisthokonta	Fungi
Sarcoscypha	Opisthokonta	Fungi
Pirum	Opisthokonta	Ichthyosporea
Acropora	Opisthokonta	Metazoa
Actinia	Opisthokonta	Metazoa
Adineta	Opisthokonta	Metazoa
Amphibalanus	Opisthokonta	Metazoa
Amphimedon	Opisthokonta	Metazoa
Amphiura	Opisthokonta	Metazoa
Anneissia	Opisthokonta	Metazoa
Anopheles	Opisthokonta	Metazoa
Apis	Opisthokonta	Metazoa
Apostichopus	Opisthokonta	Metazoa
Archispirostreptus	Opisthokonta	Metazoa
Artemia	Opisthokonta	Metazoa
Asterias	Opisthokonta	Metazoa
Bolinopsis	Opisthokonta	Metazoa
Bombyx	Opisthokonta	Metazoa
Branchiostoma	Opisthokonta	Metazoa
Branchiostoma	Opisthokonta	Metazoa
Ciona	Opisthokonta	Metazoa
Clytia	Opisthokonta	Metazoa
Corticium	Opisthokonta	Metazoa
Danaus	Opisthokonta	Metazoa
Danio	Opisthokonta	Metazoa
Dendronephthya	Opisthokonta	Metazoa
Dermatophagoides	Opisthokonta	Metazoa
Diadema	Opisthokonta	Metazoa
Didymodactylos	Opisthokonta	Metazoa
Drosophila	Opisthokonta	Metazoa
Dysidea	Opisthokonta	Metazoa
Ephydatia	Opisthokonta	Metazoa
Eupentacta	Opisthokonta	Metazoa
Exaiptasia	Opisthokonta	Metazoa
Folsomia	Opisthokonta	Metazoa
Geodia	Opisthokonta	Metazoa
Halichondria	Opisthokonta	Metazoa
Homarus	Opisthokonta	Metazoa
Homo	Opisthokonta	Metazoa
Hydra	Opisthokonta	Metazoa
Hydractinia	Opisthokonta	Metazoa
Intoshia	Opisthokonta	Metazoa
Ixodes	Opisthokonta	Metazoa
Latimeria	Opisthokonta	Metazoa
Lepeophtheirus	Opisthokonta	Metazoa
Limulus	Opisthokonta	Metazoa
Lineus	Opisthokonta	Metazoa
Lingula	Opisthokonta	Metazoa
Liolophura	Opisthokonta	Metazoa
Lytechinus	Opisthokonta	Metazoa
Montipora	Opisthokonta	Metazoa
Myxine	Opisthokonta	Metazoa
Nematostella	Opisthokonta	Metazoa
Octopus	Opisthokonta	Metazoa
Oopsacas	Opisthokonta	Metazoa
Oscarella	Opisthokonta	Metazoa
Paramacrobiotus	Opisthokonta	Metazoa
Paramuricea	Opisthokonta	Metazoa
Parasteatoda	Opisthokonta	Metazoa
Patiria	Opisthokonta	Metazoa
Physeter	Opisthokonta	Metazoa
Pocillopora	Opisthokonta	Metazoa
Polypterus	Opisthokonta	Metazoa
Pomphorhynchus	Opisthokonta	Metazoa
Priapulus	Opisthokonta	Metazoa
Procambarus	Opisthokonta	Metazoa
Ptychodera	Opisthokonta	Metazoa
Pycnogonum	Opisthokonta	Metazoa
Ramazzottius	Opisthokonta	Metazoa
Rhopilema	Opisthokonta	Metazoa
Ridgeia	Opisthokonta	Metazoa
Rotaria	Opisthokonta	Metazoa
Scolopendra	Opisthokonta	Metazoa
Scutigera	Opisthokonta	Metazoa
Strongylocentrotus	Opisthokonta	Metazoa
Sycon	Opisthokonta	Metazoa
Tribolium	Opisthokonta	Metazoa
Trichinella	Opisthokonta	Metazoa
Uloborus	Opisthokonta	Metazoa
Watersipora	Opisthokonta	Metazoa
Aiolochroia	Opisthokonta	Metazoa
Aplysina	Opisthokonta	Metazoa
Beroe	Opisthokonta	Metazoa
Chondrilla	Opisthokonta	Metazoa
Copula	Opisthokonta	Metazoa
Deiopea	Opisthokonta	Metazoa
Hoilungia	Opisthokonta	Metazoa
Ianthella	Opisthokonta	Metazoa
Mesodasys	Opisthokonta	Metazoa
Pheronema	Opisthokonta	Metazoa
Polymastia	Opisthokonta	Metazoa
Scyphidium	Opisthokonta	Metazoa
Walteria	Opisthokonta	Metazoa
Nuclearia	Opisthokonta	Rotosphaerida
Verrucomonas	Rhizaria	Cercozoa
Leptophrys	Rhizaria	Endomyxa
Mikrocytos	Rhizaria	Endomyxa
Nonionella	Rhizaria	Retaria
Chattonella	Stramenopila	 Raphidophyceae
Chattonella	Stramenopila	 Raphidophyceae
Fibrocapsa	Stramenopila	 Raphidophyceae
Gonyostomum	Stramenopila	 Raphidophyceae
Poterioochromonas	Stramenopila	 Synurophyceae
Actinophrys	Stramenopila	Actinophryidae
Chaetoceros	Stramenopila	Bacillariophyta
Cylindrotheca	Stramenopila	Bacillariophyta
Fragilaria	Stramenopila	Bacillariophyta
Seminavis	Stramenopila	Bacillariophyta
Acanthoceras	Stramenopila	Bacillariophyta
Actinocyclus	Stramenopila	Bacillariophyta
Actinoptychus	Stramenopila	Bacillariophyta
Astartiella	Stramenopila	Bacillariophyta
Aulacodiscus	Stramenopila	Bacillariophyta
Aulacoseira	Stramenopila	Bacillariophyta
Biddulphiella	Stramenopila	Bacillariophyta
Campylosira	Stramenopila	Bacillariophyta
Castoridens	Stramenopila	Bacillariophyta
Cerataulina	Stramenopila	Bacillariophyta
Chaetoceros	Stramenopila	Bacillariophyta
Chaetoceros	Stramenopila	Bacillariophyta
Chaetoceros	Stramenopila	Bacillariophyta
Cyclotella	Stramenopila	Bacillariophyta
Delphineis	Stramenopila	Bacillariophyta
Denticula	Stramenopila	Bacillariophyta
Detonula	Stramenopila	Bacillariophyta
Detonula	Stramenopila	Bacillariophyta
Diprora	Stramenopila	Bacillariophyta
Endictya	Stramenopila	Bacillariophyta
Epithemia	Stramenopila	Bacillariophyta
Extubocellulus	Stramenopila	Bacillariophyta
Fragilaria	Stramenopila	Bacillariophyta
Fragilaria	Stramenopila	Bacillariophyta
Fragilariforma	Stramenopila	Bacillariophyta
Fragilariopsis	Stramenopila	Bacillariophyta
Haslea	Stramenopila	Bacillariophyta
Leyanella	Stramenopila	Bacillariophyta
Lithodesmium	Stramenopila	Bacillariophyta
Minidiscus	Stramenopila	Bacillariophyta
Minidiscus	Stramenopila	Bacillariophyta
Navicula	Stramenopila	Bacillariophyta
Neobrightwellia	Stramenopila	Bacillariophyta
Neodelphineis	Stramenopila	Bacillariophyta
Neofragilaria	Stramenopila	Bacillariophyta
Plagiogramma	Stramenopila	Bacillariophyta
Plagiostriata	Stramenopila	Bacillariophyta
Planktoniella	Stramenopila	Bacillariophyta
Planothidium	Stramenopila	Bacillariophyta
Podocystis	Stramenopila	Bacillariophyta
Porosira	Stramenopila	Bacillariophyta
Proboscia	Stramenopila	Bacillariophyta
Psammoneis	Stramenopila	Bacillariophyta
Rhabdonema	Stramenopila	Bacillariophyta
Serratifera	Stramenopila	Bacillariophyta
Skeletonema	Stramenopila	Bacillariophyta
Skeletonema	Stramenopila	Bacillariophyta
