Taxon	Major_Clade	Minor_Clade	Percentage_in_Family	Percentage_in_Dataset
Margolisiella	Alveolata	Apicomplexa	1.32	3.18
Merocystis	Alveolata	Apicomplexa	1.32	3.18
Monocystis	Alveolata	Apicomplexa	1.32	3.18
Ophryocystis	Alveolata	Apicomplexa	1.32	3.18
Blepharisma	Alveolata	Ciliophora	2.97	6.17
Colpoda	Alveolata	Ciliophora	2.97	6.17
Colpoda	Alveolata	Ciliophora	2.97	6.17
Entodinium	Alveolata	Ciliophora	2.97	6.17
Fabrea	Alveolata	Ciliophora	2.97	6.17
Metopus	Alveolata	Ciliophora	2.97	6.17
Myriokaryon	Alveolata	Ciliophora	2.97	6.17
Protocruzia	Alveolata	Ciliophora	2.97	6.17
Stentor	Alveolata	Ciliophora	2.97	6.17
Piridium	Alveolata	Colpodellida	0.33	0.28
Amyloodinium	Alveolata	Dinophyceae	1.32	6.14
Durinskia	Alveolata	Dinophyceae	1.32	6.14
Karenia	Alveolata	Dinophyceae	1.32	6.14
Margalefidinium	Alveolata	Dinophyceae	1.32	6.14
Acanthamoeba	Amoebozoa		6.27	5.63
Heterostelium	Amoebozoa		6.27	5.63
Heterostelium	Amoebozoa		6.27	5.63
Tieghemostelium	Amoebozoa		6.27	5.63
Didymium	Amoebozoa		6.27	5.63
Filamoeba	Amoebozoa		6.27	5.63
Heterostelium	Amoebozoa		6.27	5.63
Mayorella	Amoebozoa		6.27	5.63
Microchlamys	Amoebozoa		6.27	5.63
Paramoeba	Amoebozoa		6.27	5.63
Paramoeba	Amoebozoa		6.27	5.63
Paramoeba	Amoebozoa		6.27	5.63
Raperostelium	Amoebozoa		6.27	5.63
Rhizamoeba	Amoebozoa		6.27	5.63
Stygamoeba	Amoebozoa		6.27	5.63
Unda	Amoebozoa		6.27	5.63
Vannella	Amoebozoa		6.27	5.63
Vannella	Amoebozoa		6.27	5.63
Vexillifera	Amoebozoa		6.27	5.63
Ancyromonas	Ancyromonadida	Ancyromonadidae	0.33	0.19
Chelonemonas	Apusozoa	Apusomonadida	0.99	0.47
Multimonas	Apusozoa	Apusomonadida	0.99	0.47
Singekia	Apusozoa	Apusomonadida	0.99	0.47
Cymbomonas	Archaeplastida	Chlorophyta	4.29	12.94
Pycnococcus	Archaeplastida	Chlorophyta	4.29	12.94
Chaetomorpha	Archaeplastida	Chlorophyta	4.29	12.94
Chloropicon	Archaeplastida	Chlorophyta	4.29	12.94
Coelastrella	Archaeplastida	Chlorophyta	4.29	12.94
Mantoniella	Archaeplastida	Chlorophyta	4.29	12.94
Neglectella	Archaeplastida	Chlorophyta	4.29	12.94
Nephroselmis	Archaeplastida	Chlorophyta	4.29	12.94
Oedocladium	Archaeplastida	Chlorophyta	4.29	12.94
Oedogonium	Archaeplastida	Chlorophyta	4.29	12.94
Oedogonium	Archaeplastida	Chlorophyta	4.29	12.94
Oltmannsiellopsis	Archaeplastida	Chlorophyta	4.29	12.94
Polyblepharides	Archaeplastida	Chlorophyta	4.29	12.94
Prasinococcus	Archaeplastida	Prasinodermophyta	0.33	0.09
Delisea	Archaeplastida	Rhodophyta	2.97	3.31
Amphiroa	Archaeplastida	Rhodophyta	2.97	3.31
Dixoniella	Archaeplastida	Rhodophyta	2.97	3.31
Gracilaria	Archaeplastida	Rhodophyta	2.97	3.31
Gracilariopsis	Archaeplastida	Rhodophyta	2.97	3.31
Lithophyllum	Archaeplastida	Rhodophyta	2.97	3.31
Mazzaella	Archaeplastida	Rhodophyta	2.97	3.31
Rhodella	Archaeplastida	Rhodophyta	2.97	3.31
Rhodothamniella	Archaeplastida	Rhodophyta	2.97	3.31
Klebsormidium	Archaeplastida	Streptophyta	4.95	3.87
Chaetosphaeridium	Archaeplastida	Streptophyta	4.95	3.87
Chaetosphaeridium	Archaeplastida	Streptophyta	4.95	3.87
Coleochaete	Archaeplastida	Streptophyta	4.95	3.87
