Major_Clade	Unique_Taxa	Avg_GF_per_Taxon	Taxa_in_More_Than_One_GF
Alveolata	163	2.5950920245398774	153
Amoebozoa	71	3.4225352112676055	70
Ancyromonadida	7	2.142857142857143	7
Apusozoa	10	2.7	10
Archaeplastida	277	2.6570397111913358	267
Breviatea	1	2.0	1
CRuMs	4	3.25	4
Cryptista	12	3.0833333333333335	12
Discoba	57	2.473684210526316	54
Haptista	22	2.6363636363636362	21
Metamonada	28	2.7142857142857144	26
Opisthokonta	316	3.598101265822785	288
Rhizaria	57	2.2982456140350878	55
Stramenopila	306	3.4869281045751634	296
incertae sedis	5	3.0	5
stramenopila	1	2.0	1
