Filename	Top_Gene_Family	Top_Count	2_Gene_Family	2_Count	3_Gene_Family	3_Count	4_Gene_Family	4_Count
PGML2.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGML4A.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGML3A.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGML3B.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGML1.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGML3C.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGML4B.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
LIA5.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGM.EukPhylo.tsv	OG6_101171	1	no orthogroup	0	no orthogroup	0	no orthogroup	0
LIA5.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_Borealis.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_canadensis.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_elliotti.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_empidokyrea.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_malaccensis.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_paravorax.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_pyriformis.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_shanghaiensis.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
Tetrahymena_vorax.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
TPB1.Test.EukPhylo.tsv	OG6_102536	1	no orthogroup	0	no orthogroup	0	no orthogroup	0
TPB2.Test.EukPhylo.tsv	OG6_101171	1	no orthogroup	0	no orthogroup	0	no orthogroup	0
TPB6.Test.EukPhylo.tsv	OG6_111972	2	OG6_100364	2	OG6_102536	1	OG6_102575	1
TPB7.Test.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGML5A.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
PGML5B.EukPhylo.tsv	no orthogroup	0	no orthogroup	0	no orthogroup	0	no orthogroup	0
