qseqid	sseqid	pid	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Normalized_Score
Contig[0001]#nonTE/REP-MAC	chr_003	94.75	1543	78	3	1	1541	26372709	26374250	0.0	2398.0	1.56
Contig[0001]#nonTE/REP-MAC	chr_003	91.727	278	23	0	1264	1541	13003793	13004070	6.98e-106	387.0	1.4
Contig[0001]#nonTE/REP-MAC	chr_003	93.908	1543	91	3	1	1541	28268440	28269981	0.0	2326.0	1.51
Contig[0001]#nonTE/REP-MAC	chr_003	93.567	1539	99	0	3	1541	13001551	13003089	0.0	2294.0	1.49
Contig[0002].chkTE#DNA/TcMar	chr_003	98.962	289	3	0	1	289	13197263	13197551	4.14e-146	518.0	1.8
Contig[0002].chkTE#DNA/TcMar	chr_001	100.0	227	0	0	63	289	19011060	19011286	1.2000000000000001e-116	420.0	1.86
Contig[0002].chkTE#DNA/TcMar	chr_002	99.308	289	2	0	1	289	7146521	7146809	8.89e-148	523.0	1.82
Contig[0002].chkTE#DNA/TcMar	chr_002	99.654	289	1	0	1	289	15993527	15993815	1.91e-149	529.0	1.84
Contig[0002].chkTE#DNA/TcMar	chr_001	99.519	208	1	0	1	208	21301432	21301639	2.0399999999999997e-104	379.0	1.83
Contig[0003]#DNA/TcMar	chr_005	99.438	178	1	0	1	178	3114403	3114580	5.61e-88	324.0	1.83
Contig[0003]#DNA/TcMar	chr_003	100.0	167	0	0	1	167	1281555	1281721	1.57e-83	309.0	1.86
Contig[0003]#DNA/TcMar	chr_004	100.0	178	0	0	1	178	13275180	13275357	1.21e-89	329.0	1.86
Contig[0004].C#DNA/ISXO2TnP	chr_004	100.0	53	0	0	1	53	10595605	10595657	2.83e-19	99.0	1.9
Contig[0004].C#DNA/ISXO2TnP	chr_002	98.12	585	10	1	1	584	25444680	25445264	0.0	1018.0	1.74
Contig[0004].C#DNA/ISXO2TnP	chr_001	93.056	72	0	4	1132	1199	17167951	17168021	7.88e-20	100.0	1.43
Contig[0004].C#DNA/ISXO2TnP	chr_001	92.958	71	2	3	1	71	17166823	17166890	7.88e-20	100.0	1.49
Contig[0004].C#DNA/ISXO2TnP	chr_002	97.233	253	7	0	947	1199	17162713	17162965	8.85e-119	429.0	1.7
Contig[0004].C#DNA/ISXO2TnP	chr_003	100.0	100	0	0	1	100	11488001	11488100	2.1199999999999998e-45	185.0	1.87
Contig[0004].C#DNA/ISXO2TnP	chr_004	97.854	466	10	0	734	1199	10605206	10605671	0.0	806.0	1.73
Contig[0004].C#DNA/ISXO2TnP	chr_004	97.167	1200	33	1	1	1199	12667092	12668291	0.0	2026.0	1.69
Contig[0004].C#DNA/ISXO2TnP	chr_002	98.519	270	4	0	930	1199	25445459	25445728	3.12e-133	477.0	1.77
Contig[0004].C#DNA/ISXO2TnP	chr_002	98.462	585	8	1	1	584	17160657	17161241	0.0	1029.0	1.76
Contig[0005]#unclass/unclass	chr_002	99.497	199	1	0	1	199	11700548	11700746	3.76e-100	364.0	1.84
Contig[0005]#unclass/unclass	chr_001	100.0	123	0	0	77	199	4461876	4461998	5.14e-59	228.0	1.87
Contig[0005]#unclass/unclass	chr_003	100.0	141	0	0	59	199	18350430	18350570	5.07e-69	261.0	1.86
