qseqid	sseqid	pid	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Contig[0117].fam1.2TIR.C.notMAC#DNA/piggyBac	chr_002	95.887	2018	42	21	1	1977	18334807	18332790	0.0	3241
Contig[0117].fam1.2TIR.C.notMAC#DNA/piggyBac	chr_002	94.752	2020	59	25	1	1977	16346895	16348910	0.0	3116
Contig[0117].fam1.2TIR.C.notMAC#DNA/piggyBac	chr_004	98.889	1440	16	0	1	1440	17926473	17927912	0.0	2573
Contig[0117].fam1.2TIR.C.notMAC#DNA/piggyBac	chr_004	98.991	1288	13	0	1	1288	16048570	16047283	0.0	2309
Contig[0117].fam1.2TIR.C.notMAC#DNA/piggyBac	chr_004	97.412	425	9	2	1554	1977	16047182	16046759	0.0	725
Contig[0117].fam1.2TIR.C.notMAC#DNA/piggyBac	chr_004	96.429	280	9	1	1698	1977	466032	465754	1.45e-128	462
Contig[0008].H#DNA/piggyBac	chr_002	99.42	517	3	0	1	517	18159297	18158781	0.0	939
Contig[0008].H#DNA/piggyBac	chr_004	99.033	517	5	0	1	517	19773969	19773453	0.0	928
Contig[0008].H#DNA/piggyBac	chr_004	97.292	517	13	1	1	517	14219794	14219279	0.0	876
Contig[0008].H#DNA/piggyBac	chr_004	99.254	268	2	0	1	268	29421852	29421585	7.8e-136	484
Contig[0008].H#DNA/piggyBac	chr_001	97.099	517	14	1	1	517	465229	465744	0.0	870
Contig[0008].H#DNA/piggyBac	chr_003	95.551	517	17	1	1	517	18542371	18542881	0.0	822
Contig[0008].H#DNA/piggyBac	chr_005	99.275	138	1	0	380	517	20375616	20375753	3.1e-65	250
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_003	99.748	1988	5	0	1	1988	16589972	16591959	0.0	3653
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_001	99.744	1562	4	0	427	1988	18583228	18584789	0.0	2870
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_001	100.0	203	0	0	1	203	18582925	18583127	1.96e-102	375
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_004	99.867	750	1	0	1239	1988	18160106	18160855	0.0	1380
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_004	99.679	312	1	0	1	312	18158619	18158930	6.46e-162	573
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_005	92.252	968	52	7	9	960	10087115	10086155	0.0	1354
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_005	93.827	810	40	6	153	958	24902912	24902109	0.0	1214
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_005	90.649	770	41	13	1040	1808	24901606	24900867	0.0	998
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_005	96.648	179	5	1	1801	1978	995502	995680	1.57e-78	296
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_005	95.2	125	6	0	2	126	995354	995478	4.54e-49	198
Contig[0034].H.DDE.notMAC#DNA/piggyBac	chr_004	100.0	2043	0	0	1	2043	22867346	22865304	0.0	3773
Contig[0034].H.DDE.notMAC#DNA/piggyBac	chr_004	99.951	2043	1	0	1	2043	14779214	14777172	0.0	3768
Contig[0034].H.DDE.notMAC#DNA/piggyBac	chr_002	100.0	2043	0	0	1	2043	11437983	11440025	0.0	3773
Contig[0034].H.DDE.notMAC#DNA/piggyBac	chr_003	99.951	2043	0	1	1	2043	13938568	13940609	0.0	3766
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_001	96.54	2110	42	19	25	2108	467012	464908	0.0	3469
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	97.842	1946	21	11	30	1954	19772186	19774131	0.0	3343
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	92.071	845	33	18	1288	2106	14219272	14220108	0.0	1164
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	98.917	554	4	2	20	573	29420412	29420963	0.0	989
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	98.973	292	3	0	1525	1816	29421585	29421876	7.29e-147	523
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	96.735	245	4	4	1868	2108	29421875	29422119	2.13e-112	409
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_003	94.993	2117	61	21	31	2108	18544147	18542037	0.0	3286
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_003	93.939	330	12	6	1787	2108	13933756	13934085	4.42e-139	497
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_005	98.006	1404	25	2	31	1433	20377017	20375616	0.0	2435
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_005	98.689	915	9	2	28	941	10494942	10494030	0.0	1620
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_005	96.311	244	9	0	31	274	7799658	7799901	3.56e-110	401
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_005	98.551	69	1	0	31	99	7799393	7799461	3.1100000000000004e-26	122
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_002	97.544	1425	10	15	709	2108	18158193	18159617	0.0	2420
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_002	99.552	670	1	2	19	686	18157423	18158092	0.0	1219
