qseqid	sseqid	pid	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Normalized_Score
Contig[0008].H#DNA/piggyBac	chr_001	97.099	517	14	1	1	517	465229	465744	0	870	1.69
Contig[0008].H#DNA/piggyBac	chr_003	95.551	517	17	1	1	517	18542371	18542881	0	822	1.61
Contig[0008].H#DNA/piggyBac	chr_005	99.275	138	1	0	380	517	20375616	20375753	3.10E-65	250	1.82
Contig[0034].H.DDE.notMAC#DNA/piggyBac	chr_002	100	2043	0	0	1	2043	11437983	11440025	0	3773	1.85
Contig[0034].H.DDE.notMAC#DNA/piggyBac	chr_003	99.951	2043	0	1	1	2043	13938568	13940609	0	3766	1.85
Contig[0117].fam1.2TIR.C.notMAC#DNA/piggyBac	chr_004	98.889	1440	16	0	1	1440	17926473	17927912	0	2573	1.79
Contig[0117].fam1.2TIR.C.notMAC#DNA/piggyBac	chr_002	94.752	2020	59	25	1	1977	16346895	16348910	0	3116	1.55
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	96.735	245	4	4	1868	2108	29421875	29422119	2.13E-112	409	1.68
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_003	93.939	330	12	6	1787	2108	13933756	13934085	4.42E-139	497	1.51
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_005	98.551	69	1	0	31	99	7799393	7799461	3.11E-26	122	1.79
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	98.973	292	3	0	1525	1816	29421585	29421876	7.29E-147	523	1.8
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_002	99.552	670	1	2	19	686	18157423	18158092	0	1219	1.82
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	92.071	845	33	18	1288	2106	14219272	14220108	0	1164	1.39
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_005	96.311	244	9	0	31	274	7799658	7799901	3.56E-110	401	1.65
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	97.842	1946	21	11	30	1954	19772186	19774131	0	3343	1.72
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_002	97.544	1425	10	15	709	2108	18158193	18159617	0	2420	1.7
Contig[0132].fam2.2TIR.C.notMAC#DNA/piggyBac	chr_004	98.917	554	4	2	20	573	29420412	29420963	0	989	1.79
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_005	95.2	125	6	0	2	126	995354	995478	4.54E-49	198	1.6
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_001	99.744	1562	4	0	427	1988	18583228	18584789	0	2870	1.84
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_005	96.648	179	5	1	1801	1978	995502	995680	1.57E-78	296	1.66
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_004	99.679	312	1	0	1	312	18158619	18158930	6.46E-162	573	1.84
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_001	100	203	0	0	1	203	18582925	18583127	1.96E-102	375	1.86
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_004	99.867	750	1	0	1239	1988	18160106	18160855	0	1380	1.84
R=3481.fam3.2TIR.C.intact#DNA/piggyBac	chr_003	99.748	1988	5	0	1	1988	16589972	16591959	0	3653	1.84
