qseqid	sseqid	pid	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Tt.REP66#nonLTR/nonLTR	chr_002	89.438	4772	428	49	576	5296	9385239	9389985	0.0	5951.0
Tt.REP66#nonLTR/nonLTR	chr_002	91.805	2343	190	2	3023	5364	15008639	15010980	0.0	3262.0
Tt.REP66#nonLTR/nonLTR	chr_002	84.236	3248	397	65	7	3207	2169081	2172260	0.0	3055.0
Tt.REP66#nonLTR/nonLTR	chr_002	89.227	2367	245	8	2951	5315	8839582	8841940	0.0	2950.0
Tt.REP66#nonLTR/nonLTR	chr_002	89.701	1806	139	32	522	2288	11169164	11167367	0.0	2261.0
Tt.REP66#nonLTR/nonLTR	chr_002	91.268	1546	128	5	2852	4395	10211072	10209532	0.0	2100.0
Tt.REP66#nonLTR/nonLTR	chr_002	87.348	1644	194	9	3732	5371	15345865	15347498	0.0	1871.0
Tt.REP66#nonLTR/nonLTR	chr_002	88.586	1542	146	14	2474	4014	9358222	9359734	0.0	1845.0
Tt.REP66#nonLTR/nonLTR	chr_002	87.811	1567	175	9	3764	5328	12448042	12449594	0.0	1821.0
Tt.REP66#nonLTR/nonLTR	chr_002	98.274	985	13	3	4673	5654	15933909	15932926	0.0	1722.0
Tt.REP66#nonLTR/nonLTR	chr_002	91.081	1267	96	9	1	1259	13689671	13688414	0.0	1698.0
Tt.REP66#nonLTR/nonLTR	chr_002	96.304	920	32	2	639	1558	11431589	11432506	0.0	1509.0
Tt.REP66#nonLTR/nonLTR	chr_002	94.405	983	46	6	1	980	15342022	15342998	0.0	1502.0
Tt.REP66#nonLTR/nonLTR	chr_002	93.516	987	62	2	2683	3668	24436724	24435739	0.0	1467.0
Tt.REP66#nonLTR/nonLTR	chr_002	87.44	1242	109	28	747	1959	14144881	14143658	0.0	1386.0
Tt.REP66#nonLTR/nonLTR	chr_002	90.403	1042	77	11	292	1313	15600599	15601637	0.0	1349.0
Tt.REP66#nonLTR/nonLTR	chr_002	87.375	1204	114	17	1600	2788	13688411	13687231	0.0	1347.0
Tt.REP66#nonLTR/nonLTR	chr_002	89.668	1055	82	9	297	1343	12597440	12596405	0.0	1319.0
Tt.REP66#nonLTR/nonLTR	chr_002	89.122	1048	111	3	2969	4014	15332256	15333302	0.0	1301.0
Tt.REP66#nonLTR/nonLTR	chr_002	90.09	888	79	3	2156	3043	9375162	9376040	0.0	1144.0
Tt.REP66#nonLTR/nonLTR	chr_002	89.726	876	90	0	3841	4716	11167314	11166439	0.0	1120.0
Tt.REP66#nonLTR/nonLTR	chr_002	95.428	678	21	6	1	672	10483936	10484609	0.0	1072.0
Tt.REP66#nonLTR/nonLTR	chr_002	86.289	970	129	4	4376	5343	24437805	24436838	0.0	1051.0
Tt.REP66#nonLTR/nonLTR	chr_002	92.287	726	53	3	4656	5379	13996057	13996781	0.0	1027.0
Tt.REP66#nonLTR/nonLTR	chr_002	86.179	984	83	31	1158	2105	4981438	4982404	0.0	1014.0
Tt.REP66#nonLTR/nonLTR	chr_002	89.045	785	84	2	3230	4014	9376042	9376824	0.0	972.0
Tt.REP66#nonLTR/nonLTR	chr_002	94.935	612	21	5	1	606	14129147	14128540	0.0	950.0
Tt.REP66#nonLTR/nonLTR	chr_002	90.935	706	52	9	1	700	14145587	14144888	0.0	939.0
Tt.REP66#nonLTR/nonLTR	chr_002	86.191	869	76	25	1571	2401	21975675	21976537	0.0	900.0
Tt.REP66#nonLTR/nonLTR	chr_002	95.28	572	18	2	1637	2202	8727301	8727869	0.0	898.0
Tt.REP66#nonLTR/nonLTR	chr_002	86.282	780	101	5	4520	5296	11139703	11138927	0.0	843.0
Tt.REP66#nonLTR/nonLTR	chr_002	86.144	765	104	2	4541	5304	14703863	14704626	0.0	824.0
Tt.REP66#nonLTR/nonLTR	chr_002	100.0	393	0	0	5715	6107	24840471	24840863	0.0	726.0
